"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 04:33:06""",209403,12.551,6.556,9.222,0.0,3.005,-0.556,0.519,0.069,0.0,830.0,2684.778,190.444,-1.0
"""2026-09-10 04:38:12""",209413,12.465,6.4,6.4,0.0,2.542,-0.508,0.572,0.077,0.0,830.4,2678.0,201.7,-1.0
"""2026-09-10 04:49:22""",209417,12.495,6.75,6.75,0.0,3.347,-0.29,0.886,0.036,0.0,831.0,2679.25,197.0,-1.0
"""2026-09-10 04:55:53""",209427,12.649,6.3,11.4,0.0,4.021,-0.363,0.698,0.043,0.0,829.3,2694.4,204.6,-1.0
"""2026-09-10 05:01:12""",209438,12.529,7.3,8.2,0.0,4.578,-0.384,0.698,0.065,0.0,831.1,2671.0,195.1,-1.0
"""2026-09-10 05:06:16""",209446,12.651,6.125,5.0,0.0,2.736,-0.435,0.871,0.066,0.0,829.125,2676.625,219.5,-1.0
"""2026-09-10 05:17:12""",209448,12.78,8.0,11.0,0.0,3.671,-0.299,0.644,-0.042,0.0,826.5,2693.5,215.0,-1.0
