"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 00:11:57""",209102,12.363,9.667,5.333,0.0,3.111,-0.364,0.718,0.044,0.0,829.833,2678.333,207.167,-1.0
"""2026-06-18 00:17:01""",209109,12.491,4.714,8.143,0.0,4.318,-0.616,0.644,0.056,0.0,827.857,2676.571,186.286,-1.0
"""2026-06-18 00:22:15""",209116,12.373,7.143,6.429,0.0,4.002,-0.524,0.597,0.068,0.0,832.857,2680.571,210.429,-1.0
"""2026-06-18 00:27:16""",209124,12.489,5.5,5.25,0.0,3.615,-0.61,0.544,0.034,0.0,829.0,2670.5,212.125,-1.0
"""2026-06-18 00:04:52""",209095,12.575,7.143,5.0,0.0,2.931,-0.641,0.654,0.071,0.0,831.429,2689.571,215.714,-1.0
"""2026-06-18 00:10:32""",209100,12.49,8.4,4.6,0.0,2.951,-0.311,0.543,0.075,0.0,829.4,2684.2,207.4,-1.0
"""2026-06-18 00:15:51""",209107,12.4,6.571,7.571,0.0,3.908,-0.602,0.76,0.03,0.0,829.429,2674.286,188.429,-1.0
"""2026-06-18 00:22:15""",209116,12.412,6.444,6.444,0.0,4.16,-0.52,0.567,0.077,0.0,831.0,2680.111,208.222,-1.0
"""2026-06-18 00:27:16""",209124,12.489,5.5,5.25,0.0,3.615,-0.61,0.544,0.034,0.0,829.0,2670.5,212.125,-1.0
"""2026-06-18 00:32:21""",209132,12.293,4.375,5.5,0.0,2.847,-0.401,0.584,0.044,0.0,829.75,2675.875,173.125,-1.0
