"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 04:04:37""",209359,12.328,4.75,9.25,0.0,3.794,-0.612,0.812,0.034,0.0,829.75,2686.0,195.75,-1.0
"""2026-06-18 04:11:13""",209370,12.536,5.091,4.818,0.0,3.622,-0.585,0.59,0.028,0.0,828.091,2680.545,212.636,-1.0
"""2026-06-18 04:16:51""",209377,12.611,5.571,5.143,0.0,3.282,-0.503,0.531,0.016,0.0,829.429,2689.571,198.143,-1.0
"""2026-06-18 04:22:24""",209387,12.573,6.1,8.3,0.0,5.153,-0.426,0.595,0.052,0.0,831.6,2681.9,199.2,-1.0
"""2026-06-18 04:27:29""",209394,12.427,6.714,7.429,0.0,2.759,-0.362,0.55,0.064,0.0,827.143,2675.429,195.429,-1.0
"""2026-06-18 04:33:06""",209403,12.551,6.556,9.222,0.0,3.005,-0.556,0.519,0.069,0.0,830.0,2684.778,190.444,-1.0
"""2026-06-18 04:38:12""",209413,12.465,6.4,6.4,0.0,2.542,-0.508,0.572,0.077,0.0,830.4,2678.0,201.7,-1.0
"""2026-06-18 04:49:22""",209417,12.495,6.75,6.75,0.0,3.347,-0.29,0.886,0.036,0.0,831.0,2679.25,197.0,-1.0
"""2026-06-18 04:55:53""",209427,12.649,6.3,11.4,0.0,4.021,-0.363,0.698,0.043,0.0,829.3,2694.4,204.6,-1.0
