"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 00:00:53""",209089,,8.0,7.0,0.0,4.729,-0.84,1.012,0.053,0.0,829.0,2679.0,207.0,-1.0
"""2026-06-18 00:06:52""",209096,12.597,6.714,4.0,0.0,2.632,-0.564,0.529,0.084,0.0,831.286,2691.429,216.143,-1.0
"""2026-06-18 00:11:57""",209102,12.363,9.667,5.333,0.0,3.111,-0.364,0.718,0.044,0.0,829.833,2678.333,207.167,-1.0
"""2026-06-18 00:17:01""",209109,12.491,4.714,8.143,0.0,4.318,-0.616,0.644,0.056,0.0,827.857,2676.571,186.286,-1.0
"""2026-06-18 00:22:15""",209116,12.373,7.143,6.429,0.0,4.002,-0.524,0.597,0.068,0.0,832.857,2680.571,210.429,-1.0
"""2026-06-18 00:27:16""",209124,12.489,5.5,5.25,0.0,3.615,-0.61,0.544,0.034,0.0,829.0,2670.5,212.125,-1.0
"""2026-06-18 00:32:21""",209132,12.293,4.375,5.5,0.0,2.847,-0.401,0.584,0.044,0.0,829.75,2675.875,173.125,-1.0
"""2026-06-18 00:38:16""",209140,12.315,7.125,6.375,0.0,3.99,-0.589,0.53,0.07,0.0,831.0,2690.875,188.25,-1.0
"""2026-06-18 00:43:39""",209152,12.509,6.636,10.091,0.0,2.579,-0.538,0.648,0.064,0.0,829.545,2675.636,215.091,-1.0
