"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 02:22:35""",209257,12.677,5.667,6.667,0.0,3.994,-0.388,1.071,0.018,0.0,832.0,2682.0,199.333,-1.0
"""2026-09-10 02:29:41""",209269,12.44,8.333,6.5,0.0,4.657,-0.573,0.486,0.048,0.0,831.5,2678.083,195.583,-1.0
"""2026-09-10 02:34:50""",209275,12.692,10.167,7.0,0.0,3.616,-0.348,0.675,0.103,0.0,824.667,2686.333,220.5,-1.0
"""2026-09-10 02:40:08""",209283,12.494,6.875,5.5,0.0,3.562,-0.532,0.511,0.034,0.0,827.75,2684.125,214.625,-1.0
"""2026-09-10 02:46:31""",209295,12.495,7.333,6.833,0.0,3.818,-0.568,0.534,0.067,0.0,831.25,2680.583,205.333,-1.0
"""2026-09-10 02:51:59""",209304,12.464,8.111,6.222,0.0,4.188,-0.543,0.73,0.063,0.0,827.889,2688.778,197.444,-1.0
"""2026-09-10 03:05:35""",209310,12.608,7.667,9.833,0.0,1.891,-0.538,0.735,0.035,0.0,825.5,2680.0,187.167,-1.0
"""2026-09-10 03:11:12""",209318,12.686,7.0,10.125,0.0,3.401,-0.523,0.611,0.063,0.0,832.25,2690.5,203.625,-1.0
"""2026-09-10 03:16:20""",209323,12.466,9.8,4.8,0.0,4.339,-0.472,0.449,0.062,0.0,828.6,2679.0,219.6,-1.0
