"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 05:57:10""",209479,12.455,5.0,7.333,0.0,4.555,-0.399,0.616,0.075,0.0,833.0,2677.667,190.0,-1.0
"""2026-06-18 06:02:39""",209486,12.473,7.286,4.714,0.0,3.667,-0.54,0.575,0.038,0.0,825.0,2687.143,182.0,-1.0
"""2026-06-18 06:07:46""",209496,12.498,8.2,7.1,0.0,3.713,-0.465,0.61,0.027,0.0,830.9,2679.6,208.8,-1.0
"""2026-06-18 06:13:23""",209506,12.518,8.2,7.8,0.0,3.608,-0.521,0.552,0.031,0.0,829.6,2670.2,205.2,-1.0
"""2026-06-18 06:18:49""",209514,12.504,7.5,5.875,0.0,4.373,-0.543,0.48,0.042,0.0,831.25,2678.125,190.25,-1.0
"""2026-06-18 06:24:25""",209523,12.514,7.444,6.111,0.0,3.405,-0.328,0.622,0.058,0.0,827.222,2684.778,201.111,-1.0
"""2026-06-18 06:29:26""",209529,12.534,10.333,7.833,0.0,3.037,-0.55,0.504,0.065,0.0,829.667,2704.833,200.667,-1.0
"""2026-06-18 06:34:44""",209538,12.508,7.111,5.778,0.0,2.201,-0.472,0.632,0.042,0.0,828.778,2702.0,210.222,-1.0
"""2026-06-18 06:39:48""",209548,12.387,7.6,7.1,0.0,3.088,-0.487,0.33,0.048,0.0,829.7,2677.2,206.7,-1.0
"""2026-06-18 06:45:04""",209555,12.474,4.857,6.714,0.0,4.51,-0.556,0.6,0.058,0.0,831.857,2667.429,175.143,-1.0
