"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 01:05:00""",209283,12.571,6.867,6.2,0.0,4.381,-0.441,0.504,0.044,0.0,830.933,2681.533,200.2,-1.0
"""2026-06-18 01:10:00""",209298,12.505,7.733,6.867,0.0,2.781,-0.461,0.57,0.064,0.0,829.2,2688.0,196.867,-1.0
"""2026-06-18 01:15:00""",209313,12.505,5.4,8.133,0.0,3.002,-0.447,0.594,0.053,0.0,828.533,2680.267,198.333,-1.0
"""2026-06-18 01:20:00""",209328,12.575,8.333,7.067,0.0,3.239,-0.507,0.671,0.06,0.0,827.933,2683.6,199.267,-1.0
"""2026-06-18 01:25:00""",209343,12.446,7.333,7.6,0.0,4.537,-0.585,0.458,0.067,0.0,827.6,2680.933,199.6,-1.0
"""2026-06-18 01:30:00""",209358,12.567,7.333,6.933,0.0,4.058,-0.584,0.591,0.044,0.0,829.667,2685.067,202.4,-1.0
"""2026-06-18 01:35:00""",209373,12.454,6.067,8.4,0.0,4.192,-0.495,0.498,0.049,0.0,829.6,2690.133,211.467,-1.0
"""2026-06-18 01:40:00""",209388,12.415,7.267,7.867,0.0,3.903,-0.567,0.546,0.063,0.0,826.333,2684.0,198.867,-1.0
"""2026-06-18 01:45:00""",209403,12.531,9.0,7.067,0.0,2.866,-0.573,0.636,0.027,0.0,827.4,2676.467,205.333,-1.0
"""2026-06-18 01:50:00""",209418,12.535,7.2,4.333,0.0,5.227,-0.367,0.67,0.062,0.0,829.533,2691.8,190.8,-1.0
"""2026-06-18 01:55:00""",209433,12.408,7.4,7.0,0.0,4.219,-0.44,0.676,0.103,0.0,828.733,2679.2,212.667,-1.0
"""2026-06-18 02:00:00""",209448,12.641,5.067,7.667,0.0,3.15,-0.383,0.728,0.055,0.0,828.867,2684.2,206.733,-1.0
