"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 00:17:01""",209109,12.491,4.714,8.143,0.0,4.318,-0.616,0.644,0.056,0.0,827.857,2676.571,186.286,-1.0
"""2026-06-18 00:22:15""",209116,12.373,7.143,6.429,0.0,4.002,-0.524,0.597,0.068,0.0,832.857,2680.571,210.429,-1.0
"""2026-06-18 00:27:16""",209124,12.489,5.5,5.25,0.0,3.615,-0.61,0.544,0.034,0.0,829.0,2670.5,212.125,-1.0
"""2026-06-18 00:32:21""",209132,12.293,4.375,5.5,0.0,2.847,-0.401,0.584,0.044,0.0,829.75,2675.875,173.125,-1.0
"""2026-06-18 00:38:16""",209140,12.315,7.125,6.375,0.0,3.99,-0.589,0.53,0.07,0.0,831.0,2690.875,188.25,-1.0
"""2026-06-18 00:43:39""",209152,12.509,6.636,10.091,0.0,2.579,-0.538,0.648,0.064,0.0,829.545,2675.636,215.091,-1.0
"""2026-06-18 00:48:48""",209158,12.465,7.333,4.833,0.0,2.365,-0.407,0.485,0.111,0.0,830.333,2673.833,198.833,-1.0
"""2026-06-18 00:54:17""",209168,12.412,6.0,7.1,0.0,2.539,-0.538,0.646,0.061,0.0,826.0,2682.0,198.6,-1.0
"""2026-06-18 01:05:19""",209172,12.67,4.5,9.5,0.0,4.48,-0.244,0.633,-0.017,0.0,828.25,2683.0,214.25,-1.0
"""2026-06-18 01:11:50""",209181,12.561,7.111,6.667,0.0,4.696,-0.502,0.613,0.045,0.0,830.889,2686.556,204.222,-1.0
