"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 05:27:12""",209449,12.88,8.0,11.0,0.0,4.656,-0.434,0.7,0.123,0.0,824.0,2674.0,173.0,-1.0
"""2026-09-10 05:32:15""",209458,12.481,8.333,8.333,0.0,2.391,-0.407,0.725,0.055,0.0,826.667,2684.889,212.222,-1.0
"""2026-09-10 05:38:02""",209465,12.309,7.714,7.714,0.0,2.619,-0.691,0.684,0.03,0.0,829.0,2687.857,199.714,-1.0
"""2026-09-10 05:44:54""",209476,12.351,8.2,8.3,0.0,4.144,-0.603,0.454,0.031,0.0,828.2,2679.4,202.3,-1.0
"""2026-09-10 05:57:10""",209479,12.455,5.0,7.333,0.0,4.555,-0.399,0.616,0.075,0.0,833.0,2677.667,190.0,-1.0
"""2026-09-10 06:02:39""",209486,12.473,7.286,4.714,0.0,3.667,-0.54,0.575,0.038,0.0,825.0,2687.143,182.0,-1.0
"""2026-09-10 06:07:46""",209496,12.498,8.2,7.1,0.0,3.713,-0.465,0.61,0.027,0.0,830.9,2679.6,208.8,-1.0
"""2026-09-10 06:13:23""",209506,12.518,8.2,7.8,0.0,3.608,-0.521,0.552,0.031,0.0,829.6,2670.2,205.2,-1.0
"""2026-09-10 06:18:49""",209514,12.504,7.5,5.875,0.0,4.373,-0.543,0.48,0.042,0.0,831.25,2678.125,190.25,-1.0
