"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 03:19:31""",209331,12.365,8.5,7.75,0.0,3.024,-0.596,0.654,0.072,0.0,830.875,2677.75,207.5,-1.0
"""2026-09-10 03:29:36""",209345,12.405,7.143,7.357,0.0,2.457,-0.527,0.739,0.059,0.0,829.643,2690.214,206.357,-1.0
"""2026-09-10 03:41:18""",209349,12.49,7.75,8.25,0.0,4.168,-0.466,0.498,0.053,0.0,831.75,2668.75,175.75,-1.0
"""2026-09-10 03:53:17""",209355,12.348,7.167,5.333,0.0,3.648,-0.405,0.712,0.078,0.0,828.167,2698.667,197.0,-1.0
"""2026-09-10 04:04:37""",209359,12.328,4.75,9.25,0.0,3.794,-0.612,0.812,0.034,0.0,829.75,2686.0,195.75,-1.0
"""2026-09-10 04:11:13""",209370,12.536,5.091,4.818,0.0,3.622,-0.585,0.59,0.028,0.0,828.091,2680.545,212.636,-1.0
"""2026-09-10 04:16:51""",209377,12.611,5.571,5.143,0.0,3.282,-0.503,0.531,0.016,0.0,829.429,2689.571,198.143,-1.0
