"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 09:47:51""",209727,12.645,0.0,10.5,0.0,3.505,-0.378,0.678,0.115,0.0,828.5,2687.0,178.0,-1.0
"""2026-06-18 09:57:45""",209742,12.399,6.6,7.467,0.0,3.407,-0.487,0.416,0.06,0.0,831.467,2680.133,208.533,-1.0
"""2026-06-18 10:03:19""",209752,12.64,6.9,5.5,0.0,2.217,-0.427,0.546,0.02,0.0,831.8,2693.1,196.0,-1.0
"""2026-06-18 10:09:08""",209759,12.362,5.857,7.429,0.0,3.572,-0.692,0.545,0.091,0.0,828.571,2689.143,218.286,-1.0
"""2026-06-18 10:14:42""",209768,12.51,8.333,6.222,0.0,4.225,-0.585,0.791,0.068,0.0,827.889,2686.667,187.0,-1.0
"""2026-06-18 10:19:48""",209775,12.587,8.333,5.0,0.0,3.311,-0.415,0.637,0.07,0.0,831.167,2684.167,196.5,-1.0
"""2026-06-18 10:24:52""",209781,12.436,6.167,4.5,0.0,3.011,-0.63,0.375,0.017,0.0,825.833,2695.0,185.833,-1.0
"""2026-06-18 10:30:09""",209792,12.619,4.5,6.6,0.0,4.271,-0.425,0.649,0.065,0.0,828.8,2689.4,195.4,-1.0
"""2026-06-18 00:06:52""",209096,12.597,6.875,4.375,0.0,2.894,-0.598,0.59,0.08,0.0,831.0,2689.875,215.0,-1.0
"""2026-06-18 00:11:57""",209102,12.363,9.667,5.333,0.0,3.111,-0.364,0.718,0.044,0.0,829.833,2678.333,207.167,-1.0
