"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 00:19:44""",209114,12.374,6.8,7.4,0.0,4.387,-0.706,0.506,0.084,0.0,831.8,2682.8,208.8,-1.0
"""2026-09-10 00:29:50""",209128,12.39,5.571,5.429,0.0,3.334,-0.471,0.596,0.039,0.0,829.786,2677.929,201.786,-1.0
"""2026-09-10 00:36:49""",209137,12.299,7.222,5.778,0.0,3.057,-0.561,0.492,0.077,0.0,831.333,2682.444,185.556,-1.0
"""2026-09-10 00:42:09""",209149,12.405,4.818,8.182,0.0,3.122,-0.533,0.604,0.039,0.0,828.727,2675.909,198.818,-1.0
"""2026-09-10 00:47:31""",209156,12.624,7.571,6.714,0.0,2.385,-0.422,0.761,0.107,0.0,830.429,2668.714,211.286,-1.0
"""2026-09-10 00:52:54""",209166,12.454,7.0,7.7,0.0,2.781,-0.461,0.46,0.062,0.0,826.7,2676.8,204.0,-1.0
"""2026-09-10 01:05:19""",209172,12.582,4.667,8.667,0.0,3.758,-0.426,0.766,0.021,0.0,829.0,2693.0,203.0,-1.0
"""2026-09-10 01:11:50""",209181,12.561,7.111,6.667,0.0,4.696,-0.502,0.613,0.045,0.0,830.889,2686.556,204.222,-1.0
"""2026-09-10 01:17:20""",209191,12.57,6.4,5.9,0.0,3.618,-0.43,0.399,0.051,0.0,828.1,2680.9,196.2,-1.0
