"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 07:47:42""",209617,12.295,7.6,4.0,0.0,2.45,-0.566,0.393,0.03,0.0,831.4,2692.6,210.4,-1.0
"""2026-06-18 08:00:54""",209625,12.435,7.0,6.5,0.0,2.719,-0.647,0.818,0.051,0.0,830.125,2671.75,212.0,-1.0
"""2026-06-18 08:15:52""",209635,12.466,7.8,6.6,0.0,4.199,-0.629,0.488,0.063,0.0,830.0,2673.0,219.2,-1.0
"""2026-06-18 08:28:47""",209642,12.579,8.143,6.429,0.0,4.728,-0.691,0.463,0.035,0.0,829.429,2683.857,204.286,-1.0
"""2026-06-18 08:34:21""",209651,12.568,5.333,8.556,0.0,3.364,-0.575,0.538,0.026,0.0,827.667,2676.0,199.222,-1.0
"""2026-06-18 08:44:37""",209653,12.36,10.0,5.5,0.0,3.48,-0.094,0.38,-0.02,0.0,828.0,2659.0,225.5,-1.0
