"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 00:05:00""",209103,12.505,6.867,8.133,0.0,2.96,-0.63,0.559,0.062,0.0,832.333,2692.667,182.2,-1.0
"""2026-06-18 00:10:00""",209118,12.738,6.867,6.933,0.0,3.728,-0.619,0.764,0.034,0.0,828.667,2685.067,200.533,-1.0
"""2026-06-18 00:15:00""",209133,12.531,7.267,7.467,0.0,3.31,-0.453,0.507,0.054,0.0,828.8,2685.667,182.533,-1.0
"""2026-06-18 00:20:00""",209148,12.385,6.333,5.467,0.0,4.321,-0.417,0.652,0.063,0.0,828.667,2681.8,208.667,-1.0
