"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 08:15:52""",209635,12.466,7.8,6.6,0.0,4.199,-0.629,0.488,0.063,0.0,830.0,2673.0,219.2,-1.0
"""2026-09-10 08:28:47""",209642,12.579,8.143,6.429,0.0,4.728,-0.691,0.463,0.035,0.0,829.429,2683.857,204.286,-1.0
"""2026-09-10 08:34:21""",209651,12.568,5.333,8.556,0.0,3.364,-0.575,0.538,0.026,0.0,827.667,2676.0,199.222,-1.0
"""2026-09-10 08:44:37""",209653,12.36,10.0,5.5,0.0,3.48,-0.094,0.38,-0.02,0.0,828.0,2659.0,225.5,-1.0
"""2026-09-10 08:50:24""",209661,12.551,8.0,8.125,0.0,2.331,-0.603,0.787,0.059,0.0,828.125,2698.875,198.875,-1.0
"""2026-09-10 08:55:33""",209674,12.474,6.769,7.615,0.0,4.307,-0.482,0.672,0.056,0.0,828.692,2683.385,198.923,-1.0
"""2026-09-10 09:05:42""",209676,12.64,5.5,7.0,0.0,1.136,-0.289,0.723,0.085,0.0,834.0,2691.0,209.0,-1.0
"""2026-09-10 09:10:57""",209685,12.668,7.111,7.889,0.0,2.264,-0.545,0.641,0.018,0.0,827.778,2681.667,203.889,-1.0
