"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 00:25:00""",209163,12.47,6.467,7.8,0.0,3.421,-0.562,0.585,0.068,0.0,829.8,2680.867,190.467,-1.0
"""2026-06-18 00:30:00""",209178,12.609,6.533,8.8,0.0,3.066,-0.516,0.535,0.053,0.0,827.467,2691.4,205.867,-1.0
"""2026-06-18 00:35:00""",209193,12.536,7.667,7.533,0.0,3.095,-0.573,0.509,0.084,0.0,829.4,2678.4,201.6,-1.0
"""2026-06-18 00:40:00""",209208,12.477,6.4,6.2,0.0,3.872,-0.556,0.462,0.051,0.0,828.467,2683.467,191.8,-1.0
"""2026-06-18 00:45:00""",209223,12.423,6.267,7.267,0.0,3.96,-0.503,0.428,0.049,0.0,831.2,2679.467,191.933,-1.0
"""2026-06-18 00:50:00""",209238,12.46,7.267,7.6,0.0,3.964,-0.592,0.593,0.05,0.0,827.6,2687.533,187.267,-1.0
"""2026-06-18 00:55:00""",209253,12.508,7.733,9.867,0.0,3.067,-0.507,0.594,0.063,0.0,829.2,2692.733,202.4,-1.0
"""2026-06-18 01:00:00""",209268,12.411,7.667,8.133,0.0,4.282,-0.385,0.551,0.039,0.0,830.133,2683.667,194.333,-1.0
"""2026-06-18 01:05:00""",209283,12.571,6.867,6.2,0.0,4.381,-0.441,0.504,0.044,0.0,830.933,2681.533,200.2,-1.0
"""2026-06-18 01:10:00""",209298,12.505,7.733,6.867,0.0,2.781,-0.461,0.57,0.064,0.0,829.2,2688.0,196.867,-1.0
"""2026-06-18 01:15:00""",209313,12.505,5.4,8.133,0.0,3.002,-0.447,0.594,0.053,0.0,828.533,2680.267,198.333,-1.0
"""2026-06-18 01:20:00""",209328,12.575,8.333,7.067,0.0,3.239,-0.507,0.671,0.06,0.0,827.933,2683.6,199.267,-1.0
