"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 06:19:36""",209515,12.7,14.0,6.0,0.0,2.361,-0.573,0.122,0.144,0.0,823.0,2651.0,167.0,-1.0
"""2026-09-10 06:29:26""",209529,12.508,8.214,6.857,0.0,3.322,-0.406,0.607,0.055,0.0,828.571,2695.786,203.357,-1.0
"""2026-09-10 06:34:44""",209538,12.508,7.111,5.778,0.0,2.201,-0.472,0.632,0.042,0.0,828.778,2702.0,210.222,-1.0
"""2026-09-10 06:39:48""",209548,12.387,7.6,7.1,0.0,3.088,-0.487,0.33,0.048,0.0,829.7,2677.2,206.7,-1.0
"""2026-09-10 06:45:04""",209555,12.474,4.857,6.714,0.0,4.51,-0.556,0.6,0.058,0.0,831.857,2667.429,175.143,-1.0
"""2026-09-10 06:51:32""",209561,12.492,7.0,7.0,0.0,3.216,-0.386,0.56,0.049,0.0,829.333,2690.5,211.333,-1.0
"""2026-09-10 06:57:06""",209570,12.457,7.556,5.0,0.0,3.025,-0.514,0.706,0.048,0.0,829.556,2693.778,187.778,-1.0
"""2026-09-10 07:08:45""",209573,12.313,8.667,9.0,0.0,4.455,-0.635,0.714,0.019,0.0,823.667,2674.333,189.667,-1.0
"""2026-09-10 07:13:59""",209582,12.565,7.333,7.556,0.0,3.038,-0.562,0.735,0.037,0.0,832.0,2683.778,191.444,-1.0
