"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-09-10 04:19:46""",209382,12.484,6.8,8.4,0.0,6.222,-0.45,0.804,0.035,0.0,832.2,2680.2,178.2,-1.0
"""2026-09-10 04:30:37""",209398,12.525,5.812,8.062,0.0,2.937,-0.398,0.474,0.065,0.0,829.0,2680.125,202.0,-1.0
"""2026-09-10 04:35:55""",209407,12.524,9.222,7.778,0.0,3.638,-0.605,0.523,0.074,0.0,829.444,2680.333,193.667,-1.0
"""2026-09-10 04:49:22""",209417,12.495,4.8,6.8,0.0,2.584,-0.398,0.742,0.064,0.0,831.4,2680.1,201.3,-1.0
"""2026-09-10 04:55:53""",209427,12.649,6.3,11.4,0.0,4.021,-0.363,0.698,0.043,0.0,829.3,2694.4,204.6,-1.0
"""2026-09-10 05:01:12""",209438,12.529,7.3,8.2,0.0,4.578,-0.384,0.698,0.065,0.0,831.1,2671.0,195.1,-1.0
"""2026-09-10 05:06:16""",209446,12.651,6.125,5.0,0.0,2.736,-0.435,0.871,0.066,0.0,829.125,2676.625,219.5,-1.0
"""2026-09-10 05:17:12""",209448,12.78,8.0,11.0,0.0,3.671,-0.299,0.644,-0.042,0.0,826.5,2693.5,215.0,-1.0
