"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 07:00:00""",210348,12.552,5.933,7.667,0.0,3.007,-0.576,0.528,0.07,0.0,828.8,2681.333,205.267,-1.0
"""2026-06-18 07:05:00""",210363,12.431,7.133,8.8,0.0,3.341,-0.542,0.545,0.03,0.0,828.2,2690.267,199.267,-1.0
"""2026-06-18 07:10:00""",210378,12.405,4.067,6.6,0.0,3.613,-0.495,0.606,0.055,0.0,829.267,2681.667,213.533,-1.0
"""2026-06-18 07:15:00""",210393,12.55,6.133,8.867,0.0,3.348,-0.39,0.45,0.038,0.0,830.6,2679.8,201.533,-1.0
"""2026-06-18 07:20:00""",210408,12.316,7.067,6.733,0.0,2.332,-0.492,0.758,0.058,0.0,830.2,2685.667,183.667,-1.0
"""2026-06-18 07:25:00""",210423,12.559,5.333,5.333,0.0,3.453,-0.574,0.56,0.049,0.0,827.333,2678.2,190.8,-1.0
"""2026-06-18 07:30:00""",210438,12.546,7.467,5.867,0.0,3.29,-0.566,0.482,0.074,0.0,831.067,2679.867,195.8,-1.0
"""2026-06-18 07:35:00""",210453,12.618,7.8,7.267,0.0,3.126,-0.489,0.528,0.054,0.0,828.533,2691.4,209.6,-1.0
"""2026-06-18 07:40:00""",210468,12.484,7.4,6.0,0.0,3.109,-0.606,0.631,0.047,0.0,830.467,2690.667,197.133,-1.0
"""2026-06-18 07:45:00""",210483,12.549,6.933,5.4,0.0,3.223,-0.576,0.624,0.059,0.0,828.867,2682.467,207.4,-1.0
"""2026-06-18 07:50:00""",210498,12.423,5.333,5.533,0.0,3.75,-0.558,0.638,0.06,0.0,830.6,2683.067,184.467,-1.0
