"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 06:00:00""",210168,12.575,6.867,7.8,0.0,3.759,-0.463,0.573,0.052,0.0,830.133,2685.467,196.733,-1.0
"""2026-06-18 06:05:00""",210183,12.337,8.933,6.533,0.0,2.937,-0.484,0.885,0.047,0.0,828.0,2697.667,199.933,-1.0
"""2026-06-18 06:10:00""",210198,12.598,5.333,6.133,0.0,4.114,-0.542,0.547,0.012,0.0,827.867,2684.067,190.0,-1.0
"""2026-06-18 06:15:00""",210213,12.461,6.8,7.733,0.0,3.432,-0.739,0.649,0.034,0.0,830.2,2686.6,203.867,-1.0
"""2026-06-18 06:20:00""",210228,12.555,6.133,8.4,0.0,2.971,-0.631,0.642,0.035,0.0,827.733,2688.267,202.533,-1.0
"""2026-06-18 06:25:00""",210243,12.52,6.933,7.533,0.0,3.858,-0.572,0.477,0.043,0.0,831.667,2678.067,192.6,-1.0
"""2026-06-18 06:30:00""",210258,12.485,8.467,6.2,0.0,4.108,-0.559,0.634,0.041,0.0,829.067,2682.267,199.667,-1.0
"""2026-06-18 06:35:00""",210273,12.301,7.2,5.6,0.0,2.207,-0.487,0.663,0.049,0.0,830.267,2692.4,196.533,-1.0
"""2026-06-18 06:40:00""",210288,12.664,7.667,5.267,0.0,3.669,-0.512,0.855,0.053,0.0,830.333,2673.0,211.933,-1.0
"""2026-06-18 06:45:00""",210303,12.469,7.933,5.8,0.0,3.946,-0.469,0.661,0.056,0.0,827.933,2682.067,197.8,-1.0
"""2026-06-18 06:50:00""",210318,12.493,5.0,6.2,0.0,4.17,-0.496,0.478,0.047,0.0,827.533,2686.867,186.333,-1.0
